Epoch,sparse_flops,val_set_gradient_magnintude,val_set_Hg_magnitude,val_accuracy,test_set_gradient_magnitude,test_set_Hg_magnitude,test_accuracy,individual,sigma,Pruner,Architecture,Dataset,Pruning Rate
30,134024734144.0,0.0946380421519279,6.193570243340218e-06,97.5,0.1307157278060913,4.706967047241051e-06,92.36,13,0.001,LAMP,resnet18,cifar10,0.9
40,177212081344.0,0.0655706375837326,7.49028686186648e-06,97.76,0.1190602704882621,6.635035333601991e-06,92.61,13,0.001,LAMP,resnet18,cifar10,0.9
50,220399428544.0,0.0595532283186912,1.0420784747111613e-05,98.14,0.1197789311408996,7.99157078290591e-06,92.67,13,0.001,LAMP,resnet18,cifar10,0.9
60,263586775744.0,0.0563134104013443,1.0666356502042618e-05,97.92,0.1164949834346771,8.108027031994425e-06,92.63,13,0.001,LAMP,resnet18,cifar10,0.9
70,306774122944.0,0.0566705875098705,9.437389053346124e-06,98.02,0.1153336688876152,8.490267646266147e-06,92.64,13,0.001,LAMP,resnet18,cifar10,0.9
80,349961470144.0,0.059116743505001,1.2183539183752146e-05,97.98,0.1256276965141296,1.0460878002049869e-05,92.68,13,0.001,LAMP,resnet18,cifar10,0.9
90,393148817344.0,0.0536232404410839,1.2760723620885985e-05,98.4,0.1161114498972892,1.1856121091113891e-05,92.75,13,0.001,LAMP,resnet18,cifar10,0.9
-1,143867296.0,0.9724704027175904,3.998462943854975e-06,78.98,0.8552228808403015,3.3822841487562982e-06,78.92,14,0.001,LAMP,resnet18,cifar10,0.9
0,4459886176.0,0.5178705453872681,2.7617093110166024e-06,92.8,0.4082049131393432,2.440663820379996e-06,88.78,14,0.001,LAMP,resnet18,cifar10,0.9
10,47620074976.0,0.1156895384192466,4.664796506403945e-06,97.26,0.1753528267145156,3.512268449412659e-06,92.16,14,0.001,LAMP,resnet18,cifar10,0.9
20,90780263776.0,0.0957291051745414,5.868067546543898e-06,97.22,0.172833651304245,3.757990498343133e-06,92.27,14,0.001,LAMP,resnet18,cifar10,0.9
30,133940452576.0,0.0912682563066482,5.873622285434976e-06,97.32,0.1638871431350708,4.179692950856406e-06,92.31,14,0.001,LAMP,resnet18,cifar10,0.9
40,177100641376.0,0.0770815089344978,6.234547981875949e-06,98.1,0.1571400463581085,5.2402456276468e-06,92.54,14,0.001,LAMP,resnet18,cifar10,0.9
